!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
5-* FAL StG58A 7.62mm NATO   (LMG) 3|2|20(c)|SA|9S|4.3|4/48hrs|995|2|includes bipod, double uncompensated recoil|ray.000|||
5-* FAL Para 7.62mm NATO    (AsRf) 3|3|20(c)|SA/FA|9S|3.75|5/7days|1500|3|folding stock (+1 conceal when folded), double uncompensated recoil|ray.000|||
5-* FAL StG58C 7.62mm NATO  (AsRf) 3|3|20(c)|SA/FA|9S|3.85|5/7days|1050|3|includes bipod, double uncompensated recoil|ray.000|||
5-* FAL SA58C 7.62mm NATO   (AsRf) 3|3|20(c)|SA|9S|3.85|4/48hrs|1395|2|double uncompensated recoil|ray.000|||
5-* FAL OSW1 7.62mm NATO    (Carb) 3|3|20(c)|SA|7S|4.25|4/48hrs|1525|2|folding stock (+1 conceal when folded), double uncompensated recoil|ray.000|||
5-* FAL OSW2 7.62mm NATO    (Carb) 3|3|20(c)|SA/FA|7S|4.25|5/7days|1525|3|folding stock (+1 conceal when folded), double uncompensated recoil|ray.000|||
5-* FNC 5.56mm              (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.6|3/4days|730|2||ray.000|||
5-* FNC Para 5.56mm         (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.8|3/4days|750|2|folding stock (+1 conceal when folded)|ray.000|||
5-* FNC Sporter 5.56mm      (AsRf) 3|2|30(c)|SA|9M|3.6|4/48hrs|730|2||ray.000|||
4-H&K
5-* H&K G3A3 7.62mm NATO     (LMG) 3|2|20(c)|SA/FA|9S|4.4|5/7days|1200|3|double uncompensated recoil|ray.000|||
5-* H&K G3KA4 7.62mm NATO   (AsRf) 3|3|20(c)|SA/FA|7S|4.1|5/7days|1120|3|retractable stock (+1 conceal retracted), double uncompensated recoil|ray.000|||
5-* H&K G11A4zC 5.08x35mm   (AsRf) 3|2|50(c)|SA/BF/FA|9M|4.37|14/18days|5550|4|retractable stock (No conceal bonus retracted), no barrel mount, special recoil, smartlink2|ray.000|||
5-* H&K G36A3C 5.56mm NATO  (Carb) 3|3|30(c)|SA/BF/FA|8M|3|4/9days|980|2|retractable stock (+1 conceal retracted)|ray.000|||
5-* H&K G36A3C 5.56mm NATO  (Carb) 3|3|30(c)|SA/BF/FA|8M|3|4/9days|980|2|retractable stock (+1 conceal retracted)|ray.000|||
5-* H&K G36KA3 5.56mm NATO  (Carb) 3|3|30(c)|SA/BF/FA|9M|3|4/9days|1820|2|level 1 scope, red-dot sight (TN-1)|ray.000|||
5-* H&K G36 5.56mm NATO     (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.3|4/9days|1820|2|level 1 scope, red-dot sight (TN-1)|ray.000|||
5-* H&K MG36 5.56mm NATO    (AsRf) 3|-|100 drum|SA/BF/FA|9M|4|4/9days|1820|2|level 1 scope, red-dot sight (TN-1)|ray.000|||
5-* H&K G36/7KA3 7.62mm NATO (LMG) 3|3|20(c)|SA/BF/FA|9S|3.4|4/9days|2150|2|level 1 scope, red-dot sight (TN-1), double uncompensated recoil|ray.000|||
5-* H&K G36/7A3 7.62mm NATO  (LMG) 3|2|20(c)|SA/BF/FA|9S|4|4/9days|2150|2|level 1 scope, red-dot sight (TN-1), double uncompensated recoil|ray.000|||
5-* H&K MG36/7 7.62mm NATO   (LMG) 3|-|100 drum|SA/BF/FA|9S|4.6|4/9days|2150|2|level 1 scope, red-dot sight (TN-1), double uncompensated recoil|ray.000|||
5-* H&K HK53A2 7.62mm NATO  (AsRf) 3|2|30(c)|SA/FA|9M|3.8|4/9days|1150|2|390mm barrel, SEF Trigger Group, double recoil|ray.000|||
5-* H&K HK53KA2 7.62mm NATO (Carb) 3|2|30(c)|SA/FA|9M|3.65|4/9days|1200|2|322mm barrel, SEF Trigger Group, double recoil|ray.000|||
5-* H&K HK53A2 5.56mm NATO  (Carb) 3|2|30(c)|SA/FA|8M|3.05|4/9days|980|2|3-rnd burst Trigger Group|ray.000|||
5-* H&K HK53A3 5.56mm NATO  (Carb) 3|2|30(c)|SA/FA|8M|3.05|4/9days|1000|2|3-rnd burst Trigger Group, retractable stock (+1 conceal retracted)|ray.000|||
4-Israeli Military Industry
5-* Galil AR 5.56mm NATO    (AsRf) 3|2|35(c)|SA/FA|9M|3.95|4/9days|1500|2|folding stock (+1 conceal when folded)|ray.000|||
5-* Galil SAR 5.56mm NATO   (AsRf) 3|3|35(c)|SA/FA|9M|3.75|4/9days|1450|2|folding stock (+1 conceal when folded)|ray.000|||
5-* Galil MAR 5.56mm NATO   (AsRf) 3|3|35(c)|SA/FA|8M|3|4/9days|1000|2|folding stock (+1 conceal when folded)|ray.000|||
5-* Galil ARM 7.62mm NATO   (AsRf) 3|2|25(c)|SA/FA|9S|4.35|4/9days|1750|2|folding stock (+1 conceal when folded), double recoil|ray.000|||
5-* Galil AR 7.62mm NATO    (AsRf) 3|2|25(c)|SA/FA|9S|3.95|4/9days|1500|2|folding stock (+1 conceal when folded), double recoil|ray.000|||
5-* Galil SAR 7.62mm NATO   (AsRf) 3|3|25(c)|SA/FA|8S|3.75|4/9days|1450|2|folding stock (+1 conceal when folded), double recoil|ray.000|||
5-* TAR-21 5.56mm           (AsRf) 3|2|30(c)|SA/FA|9M|3.5|4/9days|1130|2|integral reflex sight (TN-1)|ray.000|||
5-* TAR commando 5.56mm     (Carb) 3|3|30(c)|SA/FA|9M|3.5|4/9days|1130|2|integral reflex sight (TN-1)|ray.000|||
5-* TAR micro 5.56mm        (Carb) 3|4|20(c)|SA/BF/FA|8M|3.2|4/9days|980|2|integral reflex sight (TN-1)|ray.000|||
4-Izhmash Kalashnikov
5-* AK74M 5.45x39mm         (AsRf) 3|2|30(c)|SA/FA|9M|3.6|3/7days|500|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK101 5.56mm NATO       (AsRf) 3|2|30(c)|SA/FA|9M|3.6|3/7days|500|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK102 5.56mm NATO       (Carb) 3|3|30(c)|SA/FA|9M|3.3|3/7days|800|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK103 7.62x39mm         (AsRf) 3|2|30(c)|SA/FA|9M|3.6|3/7days|500|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK104 7.62x39mm         (Carb) 3|3|30(c)|SA/FA|9M|3.3|3/7days|800|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK105 5.45x39mm         (Carb) 3|3|30(c)|SA/FA|9M|3.3|3/7days|800|2|folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK107 5.56mm NATO       (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.6|3/7days|800|2|internal comp 2, folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AK108 5.45x39mm         (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.6|3/7days|800|2|internal comp 2, folding stock (+1 conceal when folded), gas vent 3|ray.000|||
5-* AN-94 5.45x39mm         (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.6|3/7days|1250|2|folding stock (+1 conceal when folded), special recoil|ray.000|||
3-Shotguns
4-* Arasaka Rapid Ass.Shot12(ShtG) 3|1|20(c)|SA/FA|8S|5.5|8/10days|1800|2.25|None|sr2.???|||
4-* Ares Thunderer          (ShtG) 3|0|10(c)/10(c)|SA/BF|10S|6.1|8/1month|2925|3|Troll Designed, Heavy Barrel(1RC), Shock Pads(1RC), Foregrip(1RC)|cc.78|||
4-* Ares Wippet             (ShtG) 3|4|6(m)|SA|6M/9M|2|5/36hrs|1500|1.5|None|sr2.???|||
4-* Autoshot Riot Gun       (ShtG) 3|2|20(c)|SA/FA|9S|4.5|10/7days|1500|2|None|sr2.???|||
4-* Benelli M1014           (ShtG) 3|2|6(m)|SA|10S/10D(f)|3.82|6/48hours|980|1|Low power "less-than-lethal" ammo can be manually cycled with the ext. bolt handle. Collapsible stock(1RC)|cc.0|||
4-* Benelli M1 Entry        (ShtG) 3|3|5(m)|SA|9S|3.22|4/6 days|750|1|Pistol Grip stock, -1 Recoil, Uses Lpist ranges|cc.0|||
4-* Benelli M1 Tactical     (ShtG) 3|2|5(m)|SA|10S/10D(f)|3.52|4/24 hours|800|1|Pistol Grip stock, -1 Recoil|cc.0|||
4-* Chandler Capture 100    (ShtG) 3|3|10(m)|SA|10S|4|4/24hrs|1500|2|Gas Vent (2), Shock Pads|sr2.???|||
4-* Chandler Capt. 100 Smart(ShtG) 3|3|10(m)|SA|10S|4|4/24hrs|2200|2|Gas Vent (2), Shock Pads, Smartlink|sr2.???|||
4-* Syrko Cobra             (ShtG) 3|2(4)|10(c)|SA|10S|4.5|4/60hrs|1200|1|Smartlink|sr2.???|||
4-* Defiance T-250          (ShtG) 3|4|5(m)|SA|10S|3|3/24hrs|500|1|None|sr3.278|||
4-* Eichiro Hatamoto II     (ShtG) 3|6|1|SS|8S|2.5|12/7days|1200|2|None|sr2.???|||
4-* Enfield AS7             (ShtG) 3|3|10(c)|SA/BF|8S|4|8/8days|1000|1|Laser Sight|sr3.278|||
4-* Franchi SPAS-15     12G (ShtG) 3|2|6(c)|SS/SA|10S|3.9|4/36hrs|1150|2|folding stock (+1 conceal when folded), simple to change SS to SA|ray.000|||
4-* Franchi SPAS-22         (ShtG) 3|2(4)|10(m)|SA/BF|10S|4|8/8days|1000|2|Smartlink-2, Fold Stock(1RC,-2Conc)|cc.23|||
4-* Holland&Holland .600 NE (ShtG) 3|-|2(b)|SA|12S|4.5|-|10000|-|None|sr2.???|||
4-* Kimatsuhama UBS-5       (ShtG) 3|(-2)|4(m)|SS|7S|2.25|5/48hrs|500|1.1|None|sr2.???|||
4-* Kimatsuhama UBS-6       (ShtG) 3|(-2)|6(m)|SA|7S|2.5|6/48hrs|750|1.1|None|sr2.???|||
4-* Kimatsuhama UBS-7       (ShtG) 3|(-3)|2x 4(m)|2x SS|7S|3.5|10/7days|1700|1.25|None|sr2.???|||
4-* "King Buck" Multi-Magnum(ShtG) 3|1|4(m)|SA|9S|7|12/4days|800|2.1|None|sr2.???|||
4-* Militech Crusher SSG    (ShtG) 3|5|6(c)|SA|6S/8M|3|6/48hrs|1450|1.5|None|cb1.30|||
4-* Militech Mil/Pol 10ga.  (ShtG) 3|2|6(m)|SA|10S|4.5|4/60hrs|800|1|None|cb1.33|||
4-* Militech Mil/Pol 12ga.  (ShtG) 3|2|8(m)|SA|8S|4.5|4/60hrs|800|1|None|cb1.33|||
4-* Mossberg CMDT           (ShtG) 3|2|8(c)|SA/BF|9S|4.25|8/8days|1000|1|Laser sight|cc.23|||
4-* Mossberg CMDT           (ShtG) 3|4|8(c)|SA/BF|8S|4.25|8/8days|1000|1|Laser sight, Heavy pistol ranges|cc.23|||
4-* Mossberg SM-CMDT        (ShtG) 3|2|8(c)|SA/BF|9S|4.5|12/8days|1500|2|Smartlink|cc.23|||
4-* Mossberg SM-CMDT        (ShtG) 3|4|8(c)|SA/BF|8S|4.5|12/8days|1500|2|Smartlink, Heavy pistol ranges|cc.23|||
4-* Neostead Home Defense   (ShtG) 3|8|6(c)|SS|11S(f)|3.25|3/6days|850|1.75|Uses Flechette rules|tss.2|||
4-* Neostead Combat         (ShtG) 3|8|12(c)|SS|12S|3.5|8/10days|1450|3|2 different types of ammo w/ selector switch|tss.2|||
4-* Nostal. Ind. Scattergun (ShtG) 3|-|3(c)|SS|10S(f)|5|8/48hrs|280|2.75|Uses Flechette rules|tss.2|||
4-* Nostal. Ind. Police PM5 (ShtG) 3|1|7(c)|SA|9S(f)|5|5/72hrs|650|2.5|Requires special clips|tss.2|||
4-* Ranger Arms Security 12 (ShtG) 3|3|15(c)|SA/BF/FA|10S|4.5|10/8days|2000|2|Gas Vent (2), Laser Sight|sr2.???|||
4-* Remington 990           (ShtG) 3|2|8(m)|SA|8S/10D(f)|4|3/48hrs|650|2|Slug(8S),Shot(10D(f))|cc.23|||
4-* Remington 990 Sawed-Off (ShtG) 3|4|8(m)|SA|6S/8D(f)|3|3/48hrs|650|2|Slug(6S),Shot(8D(f)|cc.23|||
4-* Remington 1628          (ShtG) 3|4|8(m)|SS|8S|3|3/24hrs|500|1|None|sr2.???|||
4-* Remington Rapid Asslt12 (ShtG) 3|3|15(c)|SA/BF|10S|4.5|12/8days|2000|2|Smartlink|sr2.???|||
4-* Sandler "Mad Max"       (ShtG) 3|5|2(b)|SA|6S|2.25|4/48hrs|400|1|None|sr2.???|||
4-* Saiga 12K               (ShtG) 3|2|8(c)|SA/FA|10S/10D(f)|3.5|6/36 Hours|780|2|Collapsible stock|bjf.00|||
4-* Savage Model 77E        (ShtG) 3|4|5(m)|SA|12S|4.5|8/12days|1100|2|None|tss.3|||
4-* Sternmeyer Stakeout 10  (ShtG) 3|4|10(m)|SA|9S|3.75|8/7days|900|1.5|None|sr2.???|||
4-* Stoeger Coach Gun       (ShtG) 3|3|2|SS|10S/10D(f)|2.9|2/24 Hours|250|1|None|bjf.00|||
4-* Street Sweeper ShtG     (Tasr) 3|-|1(b)|SS|10S(f)|3|5/24hrs|200|2|None|cc.23|||
4-* VC Boxlock Hammerless   (ShtG) 3|6|2(b)|SS|12S|3.6|24/48hrs|700|1.8|Collapsible stock|tss.3|||
4-* Win. 1300 Defender PG   (ShtG) 3|2|6(m)|SA|11S|4|4/24hrs|870|2.5|Pistol grips|tss.3|||
4-* Win. 1300 Defender SS   (ShtG) 3|4|6(m)|SA|11S|3.6|4/24hrs|950|2.5|Collapsible stock|tss.3|||
4-* Wirtz SW3i DemoControl  (ShtG) 3|3|4(m)|SS|(special)|3|9/16days|600|4|None|sr2.???|||
4-* Wristbreaker I          (ShtG) 3|2(3)|2x 10(m)|2x SA/FA|8S|4.25|14/14days|1450|3|None|cp.25|||
4-* Wristbreaker II         (ShtG) 3|3(4)|2x 5(m)|2x SA|8S|2.75|8/10days|1450|1.5|None|cp.25|||
4-* AET Nesostead NS    12G (ShtG) 3|3|2x 6(m)|SS|10S|3.9|2/24hrs|650|1|magazine selector: simple action to switch magazine feeds|ray.000|||
4-* Jackhammer M3       12G (ShtG) 3|2|10(cassette)|SA/FA|10S|3.72|6/36hrs|1250|3|double recoil, no mounts for top, barrel, under, or stock|ray.000|||
4-Benelli
5-* Benelli M1 Tactical 12G (ShtG) 3|2|5(m)|SA|10S|3.52|4/24hrs|800|2|none|ray.000|||
5-* Benelli M1 Entry   12G (LPist) 3|2|5(m)|SA|9S|3.22|4/6days|750|2|none|ray.000|||
5-* Beneli M1 TacticalP 12G (ShtG) 3|2|5(m)|SA|10S|3.52|4/24hrs|830|2|folding pistol grip stock(+1 conceal when folded)|ray.000|||
5-* Beneli M1 EntryP   12G (LPist) 3|2|5(m)|SA|9S|3.22|4/6days|780|2|folding pistol grip stock(+1 conceal when folded)|ray.000|||
5-* Benelli M3S90       12G (ShtG) 3|2|7(m)|SS/SA|10S|3.74|4/36hrs|920|2|simple to switch SS to SA|ray.000|||
5-* Benelli M3S90 Smart 12G (ShtG) 3|2|7(m)|SS/SA|10S|3.74|4/36hrs|1670|2|smart1, simple to switch SS to SA|ray.000|||
5-* Benelli M3S90SmartS 12G (ShtG) 3|2|7(m)|SS/SA|10S|3.74|4/36hrs|1720|2|smart1, free to switch SS to SA|ray.000|||
5-* Benelli M1014       12G (ShtG) 3|2|6(m)|SA|10S|3.82|6/48hrs|980|2|can manually advance|ray.000|||
5-* Benelli Nova Slug    12G (SMG) 3|2|6(m)|SS|10S|3.75|2/24hrs|350|1|if steel shot is used, reduce range to LPist after 150 shots|ray.000|||
4-Fabarm
5-* Fabarm FP6          12G (ShtG) 3|2|5(m)|SS|10S|3.6|2/24hrs|520|1|Pump action (simple to ready, simple to fire)|ray.000|||
5-* Fabarm FP6 Entry   12G (LPist) 3|3|5(m)|SS|10S|2.9|3/36hrs|500|2|Pump action (simple to ready, simple to fire)|ray.000|||
5-* Fabarm FP6 P        12G (ShtG) 3|2|5(m)|SS|10S|3.6|2/24hrs|550|1|folding pistol grip stock(+1 conceal when folded), Pump action (simple to ready, simple to fire)|ray.000|||
5-* Fabarm FP6 Entry P 12G (LPist) 3|3|5(m)|SS|10S|2.9|3/36hrs|530|2|folding pistol grip stock(+1 conceal when folded), Pump action (simple to ready, simple to fire)|ray.000|||
5-* Fabarm Tactical     12G (ShtG) 3|2|5(m)|SA|10S|3|2/24hrs|520|1|none|ray.000|||
5-* Fabarm Tactical     12G (ShtG) 3|2|5(m)|SA|10S|3|2/24hrs|550|1|folding pistol grip stock(+1 conceal when folded)|ray.000|||
4-Saiga
5-* Saiga 12K           12G (ShtG) 3|3|7(c)|SA|10S|3.5|6/36hrs|600|3|folding stock (+1 conceal when folded, locks weapon), double recoil|ray.000|||
5-* Saiga 12K mod1      12G (ShtG) 3|3|7(c)|SA/FA|10S|3.5|6/36hrs|650|3|folding stock (+1 conceal when folded, locks weapon), double recoil|ray.000|||
5-* Saiga 12K mod2      12G (ShtG) 3|3|7(c)|SA/FA|10S|3.5|6/36hrs|660|3|folding stock (+1 conceal when folded), double recoil|ray.000|||
4-Stoeger Coach Gun
5-* Coach Gun 12        12G (ShtG) 3|3|2(breech)|SS|10S|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
5-* Coach Gun 20        20G (ShtG) 3|3|2(breech)|SS|8S|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
5-* Coach Gun      .410Bore (ShtG) 3|3|2(breech)|SS|9M|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
5-* Coach Gun 12 sawed  12G (LHop) 3|4|2(breech)|SS|9S|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
5-* Coach Gun 20 sawed  20G (LHop) 3|4|2(breech)|SS|7S|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
5-* Coach Gun sawed .41Bore (LHop) 3|4|2(breech)|SS|8M|2.9|2/24hrs|250|1|complex to chamber 2, simple each fire.  Can not fire simultaneously|ray.000|||
4-Mossberg
5-* Mossberg 590        12G (ShtG) 3|2|8(m)|SS|10S|3.1|2/24hrs|450|1|Pump action (simple to ready, simple to fire)|ray.000|||
5-* Mossberg 590DA      12G (ShtG) 3|2|8(m)|SS|10S|3.1|2/24hrs|510|1|Double Action, Pump action (simple to ready, simple to fire)|ray.000|||
5-* Mossberg 590A1C    12G (LPist) 3|3|6(m)|SS|9S|3.1|4/48hrs|460|2|Pump action (simple to ready, simple to fire)|ray.000|||
5-* Mossberg M9200A1    12G (ShtG) 3|2|4(m)|SA|10S|3.43|2/24hrs|630|1|none|ray.000|||
3-Rifles
4-Sniper rifles
5-* ARES MP Laser III       (Snip) 3|-|20|SA|15M|25|24/21days|120000|3|Power decrease by distance|fof.49|||
5-* Barret Model 121        (Snip) 3|-|14(c)|SA|14D|10|14/30days|4800|5|Folding Bipod(2RC), Silencer, Smartlink, +2 Recoil/Rnd, Use ONLY 121 Rnds|cc.21|||
5-* H&K PSG-65              (Snip) 3|-|20(m)|SA|14S|6|12/7days|7000|4|Gas Vent (2), Low-Light, Mag:(3), Smartlink, Thermographic|sr2.???|||
5-* RAI Model 1050          (Snip) 3|-|5(c)|SA|15S|5.25|14/10days|6000|4|High-power Laser Sight, Low-Light, Mag:(3), Shock Pads, Silencer|sr2.???|||
5-* Ranger Arms SM-3        (Snip) 3|-|6(m)|SA|14S|4|12/7days|4000|4|Low-Light or Thermo Mag:(3) Scope, Gas Vent II(2RC), Silencer|sr3.278|||
5-* SMF K6                  (Snip) 3|-|30(c)|SA/FA|10S|5|14/21days|2000|3|Gas Vent (2)|sr2.???|||
5-* Tsunami Arms Ramjet Rifl(Snip) 3|-|9(c)|SA/BF|10S/12S/14S/16S|5|16/14 days|7380|4|Bipod, Mag:(3), RC:(1), Smartlink-2|sr2.???|||
5-* Walther MA-2100         (Snip) 3|-|10(m)|SA|14S|4.5|12/7days|6500|4|Smartlink|cc.21|||
5-* H&K G3 SG/1 7.62 NATO   (Snip) 3|-|20(c)|SA/FA|9S|5.54|12/9days|1805|4|x2 recoil in FA mode|ray.000|||
5-* H&K HK94 SG/1 9mm Para (LCarb) 3|3|15(c)|SA|9M|4.2|12/9days|1525|4|none|ray.000|||
5-* H&K MSG90 7.62 NATO     (Snip) 3|-|5(c)|SA|9S|6.4|12/7days|5620|4|none|ray.000|||
5-* H&K MSG90A1 7.62 NATO   (Snip) 3|-|5(c)|SA|9S|6.4|12/7days|5750|4|threaded barrel, flash hider|ray.000|||
5-* H&K PSG/1 7.62 NATO     (Snip) 3|-|5(c)|SA|9S|8.1|12/7days|9850|4|scope 1 (not removable), tripod (no recoil comp)|ray.000|||
5-AMP Technical Services
6-* DSR-1 .243 Win          (SptR) 3|2|5(c)|SS|7S|5.9|9/7days|7795|4|extra clip held in slot, gas vent 1, folding bipod, picatinny rail|ray.000|||
6-* DSR-1 .308 Subsonic     (AsRf) 3|2|5(c)|SS|9M|5.9|9/7days|7795|4|extra clip held in slot, gas vent 1, folding bipod, picatinny rail|ray.000|||
6-* DSR-1 7.62mm NATO       (Snip) 3|2|5(c)|SS|9S|5.9|9/days|7795|4|extra clip held in slot, gas vent 1, folding bipod, picatinny rail|ray.000|||
6-* DSR-1 .300 Win Mag       (MMG) 3|2|4(c)|SS|12S|5.9|9/7days|7895|4|extra clip held in slot, gas vent 1, folding bipod, picatinny rail|ray.000|||
6-* DSR-1 .338 Lapua         (HSR) 3|2|4(c)|SS|14S|5.9|9/7days|8095|4|extra clip held in slot, gas vent 1, folding bipod, picatinny rail|ray.000|||
5-Barrett Model 98
6-* M98 .338 Lapua           (HSR) 3|-|10(c)|SA|14S|6|8/9days|2250|4|gas vent 1, but extra +1 recoil. Picatinny rail|ray.000|||
6-* M98S .338 Lapua          (HSR) 3|-|10(c)|SA|14S|6.2|12/21days|3750|4|gas vent 1, but extra +1 recoil. Picatinny rail, smartlink2|ray.000|||
5-Fabrique Nationale (DS Arms)
6-* SA58B21 7.62mm NATO     (Snip) 3|2|10(c)|SA|9S|5|4/48hrs|1795|2|none|ray.000|||
6-* SA58B24 7.62mm NATO     (Snip) 3|-|10(c)|SA|9S|5.2|4/48hrs|1795|2|none|ray.000|||
5-Izhmash SVD
6-* SVD 7.62x54Rmm PSO-1    (Snip) 3|-|10(c)|SA|9S|4.3|3/7days|950|2|scope 1|ray.000|||
6-* SVD 7.62x54Rmm PO Talon (Snip) 3|-|10(c)|SA|9S|4.3|3/7days|1150|2|scope 2|ray.000|||
6-* SVDS 7.62x54Rmm PSO-1   (Snip) 3|-|10(c)|SA|9S|4.7|3/7days|1050|2|scope 1, folding stock gives conceal (2).|ray.000|||
6-* SVDS 7.62x54Rm PO Talon (Snip) 3|-|10(c)|SA|9S|4.7|3/7days|1250|2|scope 2, folding stock gives conceal (2).|ray.000|||
5-Knight's Armament Corp
6-* SR-25MR 7.62mm NATO     (Snip) 3|-|20(c)|SA|9S|4.9|4/48hrs|2495|2|Picatinny Rail|ray.000|||
